Genes,adjpval,log2FC,color
MYH10,0.0092323137798737,0.4246675511462475,grey
MYEF2,0.0131176590819352,-0.3554315774826869,grey
MTX3,0.0359365244831258,-0.3620916744587545,grey
MTPN,0.63285369790251,-0.0538763688113359,grey
MTO1,0.0209352465247544,-0.4201424242781089,grey
MTIF2,0.072377864973883,-0.3052923054285361,grey
MTHFD2,0.113467333102645,-0.1360616141555188,grey
MTHFD1L,0.95328227826609,0.0077738405666086,grey
MTHFD1,0.529663000939999,0.0582200468001048,grey
MTG2,0.210224261225296,-0.3966287919104198,grey
MTG1,0.674847610532951,0.033252992369747,grey
MTFR1L,0.85613841296859,0.0095293105449057,grey
MTFMT,0.069633147953842,-0.3966279598005687,grey
MTERF4,0.73043663831602,0.1138753259082111,grey
NKAPD1,0.10866256176746,-0.5143374431473825,grey
NKIRAS1,0.0429978708997026,0.274515044002788,grey
NKIRAS2,0.0714652446694299,-0.2767263583398179,grey
PARP1,0.270729776748296,-0.1197435167360205,grey
PCMTD2,0.314445692409487,0.0775373265333588,grey
PCMTD1,0.071044357138773,0.1679518678851367,grey
PCMT1,0.173990572455764,0.2403584175555803,grey
PCK2,0.160241430747631,-0.1175425450810614,grey
PCDH1,0.680652510709108,0.0619420713007756,grey
PCBP4,0.0362905894424612,-0.3252509775877817,grey
PCBP3,0.125036115085759,0.1592737796611554,grey
PCBP2,0.268355711158562,0.1056237353881405,grey
PCBP1,0.0623355159854774,0.2018561680401653,grey
PC,0.0341668729205754,-0.3232715659170451,grey
PBLD,0.933073106556416,0.0181279244158319,grey
PBDC1,0.0080415379267829,0.4217695608259809,grey
PARS2,0.492772635512185,-0.0719249833353154,grey
PARK7,0.0063645509243294,0.6171852684860493,grey
P4HB,0.563069195675166,0.0815353484355193,grey
PANK4,0.0352541814117697,0.3173885104459575,grey
PAM16,0.87017265765246,0.0227355822586555,grey
PALM,0.0141903506289159,-0.39712721165278,grey
PAK2,0.170782867683537,-0.147301727705807,grey
PAK1IP1,0.098165678728573,-0.1684165080278004,grey
PAICS,0.760232695806685,0.0467488582874736,grey
PAFAH1B3,0.752498215584559,0.0013409667566565,grey
PAFAH1B2,0.29076576742943,0.1098025324755197,grey
PAFAH1B1,0.16260247112576,-0.1467606450092125,grey
PAF1,0.576400634338494,-0.0477001379098157,grey
